It is a correct partial realizer of B_5


     |     |12345|     |     |
     |     | 1245|     |     |
     |     | 1345|     |12345|
     |12345| 145 |12345| 1234|
     | 2345| 2345| 1245| 1345|
     | 234 | 245 | 125 | 134 |
     | 1235| 345 | 1345| 1235|
     | 123 |  45 | 135 | 135 |
     | 235 | 1234| 145 | 123 |
     |  23 | 124 |  15 |  13 |
     | 1245|  14 | 1234| 2345|
     | 245 | 234 | 124 | 235 |
     | 125 |  34 |  12 | 345 |
     |  25 |  24 | 134 |  34 |
     | 124 |  4  |  14 |  35 |
     |  24 | 1235|  1  |  3  |
     |  12 | 125 | 2345| 1245|
     |  2  | 135 | 234 | 125 |
     | 1345|  15 |  23 | 245 |
 1235| 145 | 123 | 245 | 145 |
 235 | 345 |  13 |  25 |  15 |
  35 |  45 |  12 |  24 |  45 |
  25 | 134 |  1  |  2  |  5  |
  5  |  14 | 235 | 345 | 124 |
 1234|  34 |  35 |  45 |  14 |
 134 | 135 |  23 |  35 |  12 |
 123 |  13 |  3  |  5  |  24 |
  13 |  15 |  25 |  34 |  4  |
 234 |  3  |  2  |  4  |  1  |
  4  |  1  |  5  |  3  |  2  |
  23 |     |     |     |     |








